fork,treatment,replicate,instrument,truth_layer,metric,pre,post,delta
ncn_id_broker_r1,broker,1,micro_tie_fpr,observed_interaction_recent_betweenness_rank,fpr,,,
ncn_id_broker_r2,broker,2,micro_tie_fpr,observed_interaction_recent_betweenness_rank,fpr,,,
ncn_id_control_r1,control,1,micro_tie_fpr,observed_interaction_louvain_communities,fpr,,,
ncn_id_control_r2,control,2,micro_tie_fpr,observed_interaction_louvain_communities,fpr,,,
ncn_id_hub_r1,hub,1,micro_tie_fpr,observed_interaction_louvain_communities,fpr,,,
ncn_id_hub_r2,hub,2,micro_tie_fpr,observed_interaction_louvain_communities,fpr,,,
ncn_id_broker_r1,broker,1,micro_tie_fpr,observed_interaction_louvain_communities,fpr,,,
ncn_id_broker_r2,broker,2,micro_tie_fpr,observed_interaction_louvain_communities,fpr,,,
ncn_id_control_r1,control,1,micro_tie_fpr,observed_interaction_recent_louvain_communities,fpr,,,
ncn_id_control_r2,control,2,micro_tie_fpr,observed_interaction_recent_louvain_communities,fpr,,,
ncn_id_hub_r1,hub,1,micro_tie_fpr,observed_interaction_recent_louvain_communities,fpr,,,
ncn_id_hub_r2,hub,2,micro_tie_fpr,observed_interaction_recent_louvain_communities,fpr,,,
ncn_id_broker_r1,broker,1,micro_tie_fpr,observed_interaction_recent_louvain_communities,fpr,,,
ncn_id_broker_r2,broker,2,micro_tie_fpr,observed_interaction_recent_louvain_communities,fpr,,,
ncn_id_control_r1,control,1,micro_tie_fnr,observed_interaction,fnr,0.510435,0.448,-0.06243499999999996
ncn_id_control_r2,control,2,micro_tie_fnr,observed_interaction,fnr,0.510435,0.428058,-0.08237699999999998
ncn_id_hub_r1,hub,1,micro_tie_fnr,observed_interaction,fnr,0.510435,0.438588,-0.071847
ncn_id_hub_r2,hub,2,micro_tie_fnr,observed_interaction,fnr,0.510435,0.427654,-0.082781
ncn_id_broker_r1,broker,1,micro_tie_fnr,observed_interaction,fnr,0.510435,0.419277,-0.09115799999999996
ncn_id_broker_r2,broker,2,micro_tie_fnr,observed_interaction,fnr,0.510435,0.429873,-0.08056199999999997
ncn_id_control_r1,control,1,micro_tie_fnr,observed_interaction_recent,fnr,0.510435,0.467619,-0.042815999999999965
ncn_id_control_r2,control,2,micro_tie_fnr,observed_interaction_recent,fnr,0.510435,0.439333,-0.071102
ncn_id_hub_r1,hub,1,micro_tie_fnr,observed_interaction_recent,fnr,0.510435,0.417255,-0.09317999999999999
ncn_id_hub_r2,hub,2,micro_tie_fnr,observed_interaction_recent,fnr,0.510435,0.432174,-0.07826099999999997
ncn_id_broker_r1,broker,1,micro_tie_fnr,observed_interaction_recent,fnr,0.510435,0.4152,-0.09523499999999996
ncn_id_broker_r2,broker,2,micro_tie_fnr,observed_interaction_recent,fnr,0.510435,0.410233,-0.10020199999999996
ncn_id_control_r1,control,1,micro_tie_fnr,observed_interaction_cumulative_betweenness_rank,fnr,,,
ncn_id_control_r2,control,2,micro_tie_fnr,observed_interaction_cumulative_betweenness_rank,fnr,,,
ncn_id_hub_r1,hub,1,micro_tie_fnr,observed_interaction_cumulative_betweenness_rank,fnr,,,
ncn_id_hub_r2,hub,2,micro_tie_fnr,observed_interaction_cumulative_betweenness_rank,fnr,,,
ncn_id_broker_r1,broker,1,micro_tie_fnr,observed_interaction_cumulative_betweenness_rank,fnr,,,
ncn_id_broker_r2,broker,2,micro_tie_fnr,observed_interaction_cumulative_betweenness_rank,fnr,,,
ncn_id_control_r1,control,1,micro_tie_fnr,observed_interaction_recent_betweenness_rank,fnr,,,
ncn_id_control_r2,control,2,micro_tie_fnr,observed_interaction_recent_betweenness_rank,fnr,,,
ncn_id_hub_r1,hub,1,micro_tie_fnr,observed_interaction_recent_betweenness_rank,fnr,,,
ncn_id_hub_r2,hub,2,micro_tie_fnr,observed_interaction_recent_betweenness_rank,fnr,,,
ncn_id_broker_r1,broker,1,micro_tie_fnr,observed_interaction_recent_betweenness_rank,fnr,,,
ncn_id_broker_r2,broker,2,micro_tie_fnr,observed_interaction_recent_betweenness_rank,fnr,,,
ncn_id_control_r1,control,1,micro_tie_fnr,observed_interaction_louvain_communities,fnr,,,
ncn_id_control_r2,control,2,micro_tie_fnr,observed_interaction_louvain_communities,fnr,,,
ncn_id_hub_r1,hub,1,micro_tie_fnr,observed_interaction_louvain_communities,fnr,,,
ncn_id_hub_r2,hub,2,micro_tie_fnr,observed_interaction_louvain_communities,fnr,,,
ncn_id_broker_r1,broker,1,micro_tie_fnr,observed_interaction_louvain_communities,fnr,,,
ncn_id_broker_r2,broker,2,micro_tie_fnr,observed_interaction_louvain_communities,fnr,,,
ncn_id_control_r1,control,1,micro_tie_fnr,observed_interaction_recent_louvain_communities,fnr,,,
ncn_id_control_r2,control,2,micro_tie_fnr,observed_interaction_recent_louvain_communities,fnr,,,
ncn_id_hub_r1,hub,1,micro_tie_fnr,observed_interaction_recent_louvain_communities,fnr,,,
ncn_id_hub_r2,hub,2,micro_tie_fnr,observed_interaction_recent_louvain_communities,fnr,,,
ncn_id_broker_r1,broker,1,micro_tie_fnr,observed_interaction_recent_louvain_communities,fnr,,,
ncn_id_broker_r2,broker,2,micro_tie_fnr,observed_interaction_recent_louvain_communities,fnr,,,
ncn_id_control_r1,control,1,bridge_rank,observed_interaction,bridge_mean_abs_rank_error,,,
ncn_id_control_r2,control,2,bridge_rank,observed_interaction,bridge_mean_abs_rank_error,,,
ncn_id_hub_r1,hub,1,bridge_rank,observed_interaction,bridge_mean_abs_rank_error,,,
ncn_id_hub_r2,hub,2,bridge_rank,observed_interaction,bridge_mean_abs_rank_error,,,
ncn_id_broker_r1,broker,1,bridge_rank,observed_interaction,bridge_mean_abs_rank_error,,,
ncn_id_broker_r2,broker,2,bridge_rank,observed_interaction,bridge_mean_abs_rank_error,,,
ncn_id_control_r1,control,1,bridge_rank,observed_interaction_recent,bridge_mean_abs_rank_error,,,
ncn_id_control_r2,control,2,bridge_rank,observed_interaction_recent,bridge_mean_abs_rank_error,,,
ncn_id_hub_r1,hub,1,bridge_rank,observed_interaction_recent,bridge_mean_abs_rank_error,,,
ncn_id_hub_r2,hub,2,bridge_rank,observed_interaction_recent,bridge_mean_abs_rank_error,,,
ncn_id_broker_r1,broker,1,bridge_rank,observed_interaction_recent,bridge_mean_abs_rank_error,,,
ncn_id_broker_r2,broker,2,bridge_rank,observed_interaction_recent,bridge_mean_abs_rank_error,,,
ncn_id_control_r1,control,1,bridge_rank,observed_interaction_cumulative_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.8528,1.2511999999999999
ncn_id_control_r2,control,2,bridge_rank,observed_interaction_cumulative_betweenness_rank,bridge_mean_abs_rank_error,6.6016,6.912,0.31039999999999957
ncn_id_hub_r1,hub,1,bridge_rank,observed_interaction_cumulative_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.36,0.7584
ncn_id_hub_r2,hub,2,bridge_rank,observed_interaction_cumulative_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.392,0.7904
ncn_id_broker_r1,broker,1,bridge_rank,observed_interaction_cumulative_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.5136,0.9119999999999999
ncn_id_broker_r2,broker,2,bridge_rank,observed_interaction_cumulative_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.2576,0.6559999999999997
ncn_id_control_r1,control,1,bridge_rank,observed_interaction_recent_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.456,0.8544
ncn_id_control_r2,control,2,bridge_rank,observed_interaction_recent_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.1712,0.5695999999999994
ncn_id_hub_r1,hub,1,bridge_rank,observed_interaction_recent_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.6288,1.0271999999999997
ncn_id_hub_r2,hub,2,bridge_rank,observed_interaction_recent_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.6192,1.0175999999999998
ncn_id_broker_r1,broker,1,bridge_rank,observed_interaction_recent_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.5264,0.9247999999999994
ncn_id_broker_r2,broker,2,bridge_rank,observed_interaction_recent_betweenness_rank,bridge_mean_abs_rank_error,6.6016,7.1584,0.5568
ncn_id_control_r1,control,1,bridge_rank,observed_interaction_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_control_r2,control,2,bridge_rank,observed_interaction_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_hub_r1,hub,1,bridge_rank,observed_interaction_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_hub_r2,hub,2,bridge_rank,observed_interaction_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_broker_r1,broker,1,bridge_rank,observed_interaction_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_broker_r2,broker,2,bridge_rank,observed_interaction_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_control_r1,control,1,bridge_rank,observed_interaction_recent_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_control_r2,control,2,bridge_rank,observed_interaction_recent_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_hub_r1,hub,1,bridge_rank,observed_interaction_recent_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_hub_r2,hub,2,bridge_rank,observed_interaction_recent_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_broker_r1,broker,1,bridge_rank,observed_interaction_recent_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_broker_r2,broker,2,bridge_rank,observed_interaction_recent_louvain_communities,bridge_mean_abs_rank_error,,,
ncn_id_control_r1,control,1,bridge_top1,observed_interaction,bridge_top1_hit,,,
ncn_id_control_r2,control,2,bridge_top1,observed_interaction,bridge_top1_hit,,,
ncn_id_hub_r1,hub,1,bridge_top1,observed_interaction,bridge_top1_hit,,,
ncn_id_hub_r2,hub,2,bridge_top1,observed_interaction,bridge_top1_hit,,,
ncn_id_broker_r1,broker,1,bridge_top1,observed_interaction,bridge_top1_hit,,,
ncn_id_broker_r2,broker,2,bridge_top1,observed_interaction,bridge_top1_hit,,,
ncn_id_control_r1,control,1,bridge_top1,observed_interaction_recent,bridge_top1_hit,,,
ncn_id_control_r2,control,2,bridge_top1,observed_interaction_recent,bridge_top1_hit,,,
ncn_id_hub_r1,hub,1,bridge_top1,observed_interaction_recent,bridge_top1_hit,,,
ncn_id_hub_r2,hub,2,bridge_top1,observed_interaction_recent,bridge_top1_hit,,,
ncn_id_broker_r1,broker,1,bridge_top1,observed_interaction_recent,bridge_top1_hit,,,
ncn_id_broker_r2,broker,2,bridge_top1,observed_interaction_recent,bridge_top1_hit,,,
ncn_id_control_r1,control,1,bridge_top1,observed_interaction_cumulative_betweenness_rank,bridge_top1_hit,0.04,0.04,0.0
ncn_id_control_r2,control,2,bridge_top1,observed_interaction_cumulative_betweenness_rank,bridge_top1_hit,0.04,0.04,0.0
ncn_id_hub_r1,hub,1,bridge_top1,observed_interaction_cumulative_betweenness_rank,bridge_top1_hit,0.04,0.04,0.0
ncn_id_hub_r2,hub,2,bridge_top1,observed_interaction_cumulative_betweenness_rank,bridge_top1_hit,0.04,0.08,0.04
ncn_id_broker_r1,broker,1,bridge_top1,observed_interaction_cumulative_betweenness_rank,bridge_top1_hit,0.04,0.12,0.07999999999999999
ncn_id_broker_r2,broker,2,bridge_top1,observed_interaction_cumulative_betweenness_rank,bridge_top1_hit,0.04,0.08,0.04
ncn_id_control_r1,control,1,bridge_top1,observed_interaction_recent_betweenness_rank,bridge_top1_hit,0.04,0.04,0.0
ncn_id_control_r2,control,2,bridge_top1,observed_interaction_recent_betweenness_rank,bridge_top1_hit,0.04,0.04,0.0
ncn_id_hub_r1,hub,1,bridge_top1,observed_interaction_recent_betweenness_rank,bridge_top1_hit,0.04,0.04,0.0
ncn_id_hub_r2,hub,2,bridge_top1,observed_interaction_recent_betweenness_rank,bridge_top1_hit,0.04,0.0,-0.04
ncn_id_broker_r1,broker,1,bridge_top1,observed_interaction_recent_betweenness_rank,bridge_top1_hit,0.04,0.12,0.07999999999999999
ncn_id_broker_r2,broker,2,bridge_top1,observed_interaction_recent_betweenness_rank,bridge_top1_hit,0.04,0.08,0.04
ncn_id_control_r1,control,1,bridge_top1,observed_interaction_louvain_communities,bridge_top1_hit,,,
ncn_id_control_r2,control,2,bridge_top1,observed_interaction_louvain_communities,bridge_top1_hit,,,
ncn_id_hub_r1,hub,1,bridge_top1,observed_interaction_louvain_communities,bridge_top1_hit,,,
ncn_id_hub_r2,hub,2,bridge_top1,observed_interaction_louvain_communities,bridge_top1_hit,,,
ncn_id_broker_r1,broker,1,bridge_top1,observed_interaction_louvain_communities,bridge_top1_hit,,,
ncn_id_broker_r2,broker,2,bridge_top1,observed_interaction_louvain_communities,bridge_top1_hit,,,
ncn_id_control_r1,control,1,bridge_top1,observed_interaction_recent_louvain_communities,bridge_top1_hit,,,
ncn_id_control_r2,control,2,bridge_top1,observed_interaction_recent_louvain_communities,bridge_top1_hit,,,
ncn_id_hub_r1,hub,1,bridge_top1,observed_interaction_recent_louvain_communities,bridge_top1_hit,,,
ncn_id_hub_r2,hub,2,bridge_top1,observed_interaction_recent_louvain_communities,bridge_top1_hit,,,
ncn_id_broker_r1,broker,1,bridge_top1,observed_interaction_recent_louvain_communities,bridge_top1_hit,,,
ncn_id_broker_r2,broker,2,bridge_top1,observed_interaction_recent_louvain_communities,bridge_top1_hit,,,
ncn_id_control_r1,control,1,community_nmi,observed_interaction,nmi,,,
ncn_id_control_r2,control,2,community_nmi,observed_interaction,nmi,,,
