step,sim_time,n_personas,n_chats_cumulative,n_new_chats_since_prev,n_active_agents_cumulative,n_new_active_agents_since_prev,n_edges_cumulative,n_edges_recent_8h,density_cumulative,mean_degree_cumulative,max_degree,top3_degree,max_betweenness,top3_betweenness,hub,broker,hub_eq_broker,cumulative_betweenness_top_share,cumulative_betweenness_hhi,cumulative_component_count,cumulative_largest_component_size,cumulative_reachable_pair_fraction,cumulative_mean_reachable_shortest_path_length,cumulative_diameter_reachable,cumulative_bridge_edge_count,density_recent_8h,mean_degree_recent_8h,max_degree_recent_8h,top3_degree_recent_8h,max_betweenness_recent_8h,top3_betweenness_recent_8h,hub_recent_8h,broker_recent_8h,hub_eq_broker_recent_8h,betweenness_top_share_recent_8h,betweenness_hhi_recent_8h,component_count_recent_8h,largest_component_size_recent_8h,reachable_pair_fraction_recent_8h,mean_reachable_shortest_path_length_recent_8h,diameter_reachable_recent_8h,bridge_edge_count_recent_8h,transitivity,avg_clustering,modularity_louvain,n_communities_louvain,largest_component_diameter,largest_component_avg_path_length
600,2026-02-13 09:40:00,15,16,16,9,9,7,7,0.0667,0.933,3,Hailey Johnson=3; Abigail Chen=2; Francisco Lopez=2,0.044,Hailey Johnson=0.0440; Rajiv Patel=0.0330,Hailey Johnson,Hailey Johnson,1,0.5714,0.5102,9,5,0.1143,1.5833,3,4,0.0667,0.933,3,Hailey Johnson=3; Abigail Chen=2; Francisco Lopez=2,0.044,Hailey Johnson=0.0440; Rajiv Patel=0.0330,Hailey Johnson,Hailey Johnson,1,0.5714,0.5102,9,5,0.1143,1.5833,3,4,0.5,0.1556,0.5449,10,3,1.7
1200,2026-02-13 11:20:00,15,36,20,14,14,20,20,0.1905,2.667,6,Hailey Johnson=6; Abigail Chen=3; Arthur Burton=3,0.206,Hailey Johnson=0.2060; Carlos Gomez=0.1154; Ryan Park=0.0705,Hailey Johnson,Hailey Johnson,1,0.3989,0.2449,3,10,0.4857,1.9216,4,0,0.1905,2.667,6,Hailey Johnson=6; Abigail Chen=3; Arthur Burton=3,0.206,Hailey Johnson=0.2060; Carlos Gomez=0.1154; Ryan Park=0.0705,Hailey Johnson,Hailey Johnson,1,0.3989,0.2449,3,10,0.4857,1.9216,4,0,0.4091,0.4622,0.549,5,4,2.0222
1800,2026-02-13 13:00:00,15,44,8,14,8,25,25,0.2381,3.333,6,Carlos Gomez=6; Hailey Johnson=6; Abigail Chen=4,0.489,Carlos Gomez=0.4890; Hailey Johnson=0.4011; Wolfgang Schulz=0.1593,Hailey Johnson,Carlos Gomez,0,0.387,0.2729,2,14,0.8667,2.2637,4,0,0.2381,3.333,6,Carlos Gomez=6; Hailey Johnson=6; Abigail Chen=4,0.489,Carlos Gomez=0.4890; Hailey Johnson=0.4011; Wolfgang Schulz=0.1593,Carlos Gomez,Carlos Gomez,1,0.387,0.2729,2,14,0.8667,2.2637,4,0,0.4932,0.5733,0.4817,4,4,2.2637
