step,agent_name,community_id
600,Abigail Chen,0
600,Arthur Burton,1
600,Ayesha Khan,2
600,Carlos Gomez,3
600,Francisco Lopez,0
600,Giorgio Rossi,4
600,Hailey Johnson,0
600,Isabella Rodriguez,4
600,Klaus Mueller,5
600,Latoya Williams,6
600,Maria Lopez,7
600,Mei Lin,8
600,Rajiv Patel,6
600,Ryan Park,9
600,Wolfgang Schulz,2
