step,sim_time,n_personas,n_chats_cumulative,n_new_chats_since_prev,n_active_agents_cumulative,n_new_active_agents_since_prev,n_edges_cumulative,n_edges_recent_8h,density_cumulative,mean_degree_cumulative,max_degree,top3_degree,max_betweenness,top3_betweenness,hub,broker,hub_eq_broker,cumulative_betweenness_top_share,cumulative_betweenness_hhi,cumulative_component_count,cumulative_largest_component_size,cumulative_reachable_pair_fraction,cumulative_mean_reachable_shortest_path_length,cumulative_diameter_reachable,cumulative_bridge_edge_count,density_recent_8h,mean_degree_recent_8h,max_degree_recent_8h,top3_degree_recent_8h,max_betweenness_recent_8h,top3_betweenness_recent_8h,hub_recent_8h,broker_recent_8h,hub_eq_broker_recent_8h,betweenness_top_share_recent_8h,betweenness_hhi_recent_8h,component_count_recent_8h,largest_component_size_recent_8h,reachable_pair_fraction_recent_8h,mean_reachable_shortest_path_length_recent_8h,diameter_reachable_recent_8h,bridge_edge_count_recent_8h,transitivity,avg_clustering,modularity_louvain,n_communities_louvain,largest_component_diameter,largest_component_avg_path_length
1800,2023-02-13 13:00:00,25,127,127,21,21,46,46,0.1533,3.68,8,Eddy Lin=8; John Lin=8; Tom Moreno=8,0.0973,Eddy Lin=0.0973; Tom Moreno=0.0820; John Lin=0.0764,John Lin,Eddy Lin,0,0.1508,0.0933,6,19,0.5733,2.0349,4,1,0.1533,3.68,8,Eddy Lin=8; John Lin=8; Tom Moreno=8,0.0973,Eddy Lin=0.0973; Tom Moreno=0.0820; John Lin=0.0764,Eddy Lin,Eddy Lin,1,0.1508,0.0933,6,19,0.5733,2.0349,4,1,0.3805,0.315,0.365,8,4,2.0409
2100,2023-02-13 13:50:00,25,175,48,22,19,57,46,0.19,4.56,9,Eddy Lin=9; John Lin=9; Tom Moreno=8,0.0895,Eddy Lin=0.0895; John Lin=0.0785; Francisco Lopez=0.0769,John Lin,Eddy Lin,0,0.1387,0.0854,5,20,0.6367,1.9319,4,1,0.1533,3.68,7,Eddy Lin=7; Giorgio Rossi=7; John Lin=7,0.1027,Francisco Lopez=0.1027; John Lin=0.1012; Eddy Lin=0.0980,Eddy Lin,Francisco Lopez,0,0.1343,0.084,6,20,0.6333,2.1105,4,1,0.3926,0.3594,0.3602,9,4,1.9368
2400,2023-02-13 14:40:00,25,227,52,23,20,67,51,0.2233,5.36,10,Eddy Lin=10; John Lin=9; Carlos Gomez=8,0.0708,Eddy Lin=0.0708; Carlos Gomez=0.0595; John Lin=0.0544,Eddy Lin,Eddy Lin,1,0.1311,0.073,4,20,0.6433,1.772,3,2,0.17,4.08,7,Carlos Gomez=7; Eddy Lin=7; Giorgio Rossi=7,0.1444,Carlos Gomez=0.1444; Eddy Lin=0.0957; Hailey Johnson=0.0759,Carlos Gomez,Carlos Gomez,1,0.1897,0.094,5,20,0.6367,2.0995,4,2,0.433,0.3461,0.3648,6,3,1.7789
2700,2023-02-13 15:30:00,25,245,18,23,10,73,53,0.2433,5.84,10,Eddy Lin=10; Arthur Burton=9; John Lin=9,0.1486,Carmen Ortiz=0.1486; Adam Smith=0.1413; Sam Moore=0.1057,Eddy Lin,Carmen Ortiz,0,0.1595,0.0903,3,23,0.8433,2.0158,4,2,0.1767,4.24,8,Jennifer Moore=8; Hailey Johnson=7; Carlos Gomez=6,0.135,Sam Moore=0.1350; Jennifer Moore=0.1223; Hailey Johnson=0.1028,Jennifer Moore,Sam Moore,0,0.1336,0.078,4,22,0.77,2.2078,5,2,0.4398,0.3691,0.3643,6,4,2.0158
3000,2023-02-13 16:20:00,25,305,60,23,16,77,47,0.2567,6.16,10,Eddy Lin=10; Arthur Burton=9; John Lin=9,0.105,Adam Smith=0.1050; Tom Moreno=0.0989; Carmen Ortiz=0.0900,Eddy Lin,Adam Smith,0,0.1228,0.0756,3,23,0.8433,1.9328,4,1,0.1567,3.76,8,Hailey Johnson=8; Jennifer Moore=7; Abigail Chen=5,0.1685,Hailey Johnson=0.1685; Jennifer Moore=0.1296; Arthur Burton=0.1218,Hailey Johnson,Hailey Johnson,1,0.1458,0.0828,4,22,0.77,2.381,5,1,0.4449,0.3787,0.4302,6,4,1.9328
3300,2023-02-13 17:10:00,25,363,58,23,18,81,46,0.27,6.48,10,Adam Smith=10; Arthur Burton=10; Eddy Lin=10,0.1145,Adam Smith=0.1145; Tom Moreno=0.1090; Carmen Ortiz=0.0872,Adam Smith,Adam Smith,1,0.1417,0.0819,3,23,0.8433,1.8814,4,1,0.1533,3.68,7,Hailey Johnson=7; Abigail Chen=6; Arthur Burton=6,0.0949,Tom Moreno=0.0949; Hailey Johnson=0.0921; Arthur Burton=0.0910,Hailey Johnson,Tom Moreno,0,0.1064,0.0712,5,21,0.7,2.1714,4,0,0.447,0.3856,0.4179,5,4,1.8814
