agent_name,community_id
Abigail Chen,1
Adam Smith,2
Arthur Burton,3
Ayesha Khan,2
Carlos Gomez,4
Carmen Ortiz,2
Eddy Lin,4
Francisco Lopez,1
Giorgio Rossi,4
Hailey Johnson,1
Isabella Rodriguez,4
Jane Moreno,3
Jennifer Moore,1
John Lin,2
Klaus Mueller,3
Latoya Williams,1
Maria Lopez,5
Mei Lin,2
Rajiv Patel,1
Ryan Park,2
Sam Moore,4
Tamara Taylor,2
Tom Moreno,2
Wolfgang Schulz,6
Yuriko Yamamoto,2
