sim_code,step,sim_time,density_cumulative,density_recent,n_edges_cumulative,n_edges_recent,mean_degree_cumulative,component_count_cumulative,largest_component_cumulative,bridge_edge_count_cumulative,hub,broker,hub_eq_broker
ncn_id_broker_r2,2100,2023-02-13 13:50:00,0.19,0.15333333333333332,57,46,4.56,5,20,1,Eddy Lin,Eddy Lin,1
ncn_id_broker_r2,2400,2023-02-13 14:40:00,0.22,0.16333333333333333,66,49,5.28,4,20,2,Eddy Lin,John Lin,0
ncn_id_broker_r2,2700,2023-02-13 15:30:00,0.23666666666666666,0.17,71,51,5.68,3,23,3,Adam Smith,Adam Smith,1
ncn_id_broker_r2,3000,2023-02-13 16:20:00,0.24666666666666667,0.14333333333333334,74,43,5.92,3,23,3,Adam Smith,Adam Smith,1
ncn_id_broker_r2,3300,2023-02-13 17:10:00,0.2633333333333333,0.14333333333333334,79,43,6.32,3,23,3,Adam Smith,Adam Smith,1
ncn_id_broker_r2,3300,2023-02-13 17:10:00,0.2633333333333333,0.14333333333333334,79,43,6.32,3,23,3,Adam Smith,Adam Smith,1
