survey_dir,treatment_type,target_agent,shock_step,alignment_status,pre_wave,pre_step,post_wave,post_step,truth_layer,pre_tp,post_tp,delta_tp,pre_fp,post_fp,delta_fp,pre_fn,post_fn,delta_fn,pre_tn,post_tn,delta_tn,pre_precision,post_precision,delta_precision,pre_recall,post_recall,delta_recall,pre_fpr,post_fpr,delta_fpr,pre_fnr,post_fnr,delta_fnr,pre_pair_accuracy,post_pair_accuracy,delta_pair_accuracy,pre_n_fail_safe,post_n_fail_safe,delta_n_fail_safe,pre_n_pairs_evaluated,post_n_pairs_evaluated,delta_n_pairs_evaluated
prepost_n15_calibration-1_post_broker_t2400,broker_removal,Carlos Gomez,1800,ok,1800,1800,t2400,2400,observed_interaction,169,172,3,591,594,3,205,203,-2,609,603,-6,0.222368,0.224543,0.002175,0.451872,0.458667,0.006795,0.492500,0.496241,0.003741,0.548128,0.541333,-0.006795,0.494282,0.493003,-0.001279,42,42,0,1574,1572,-2
prepost_n15_calibration-1_post_broker_t2400,broker_removal,Carlos Gomez,1800,ok,1800,1800,t2400,2400,background_social_tie,213,222,9,547,544,-3,296,288,-8,518,518,0,0.280263,0.289817,0.009554,0.418468,0.435294,0.016826,0.513615,0.512241,-0.001374,0.581532,0.564706,-0.016826,0.464422,0.470738,0.006316,42,42,0,1574,1572,-2
prepost_n15_calibration-1_post_broker_t2400,broker_removal,Carlos Gomez,1800,ok,1800,1800,t2400,2400,background_or_interaction,264,271,7,496,495,-1,335,329,-6,479,477,-2,0.347368,0.353786,0.006418,0.440735,0.451667,0.010932,0.508718,0.509259,0.000541,0.559265,0.548333,-0.010932,0.472046,0.475827,0.003781,42,42,0,1574,1572,-2
