step,sim_time,n_personas,n_chats_cumulative,n_new_chats_since_prev,n_active_agents_cumulative,n_new_active_agents_since_prev,n_edges_cumulative,n_edges_recent_8h,density_cumulative,mean_degree_cumulative,max_degree,top3_degree,max_betweenness,top3_betweenness,hub,broker,hub_eq_broker,cumulative_betweenness_top_share,cumulative_betweenness_hhi,cumulative_component_count,cumulative_largest_component_size,cumulative_reachable_pair_fraction,cumulative_mean_reachable_shortest_path_length,cumulative_diameter_reachable,cumulative_bridge_edge_count,density_recent_8h,mean_degree_recent_8h,max_degree_recent_8h,top3_degree_recent_8h,max_betweenness_recent_8h,top3_betweenness_recent_8h,hub_recent_8h,broker_recent_8h,hub_eq_broker_recent_8h,betweenness_top_share_recent_8h,betweenness_hhi_recent_8h,component_count_recent_8h,largest_component_size_recent_8h,reachable_pair_fraction_recent_8h,mean_reachable_shortest_path_length_recent_8h,diameter_reachable_recent_8h,bridge_edge_count_recent_8h,transitivity,avg_clustering,modularity_louvain,n_communities_louvain,largest_component_diameter,largest_component_avg_path_length
1800,2023-02-13 13:00:00,25,127,127,21,21,46,46,0.1533,3.68,8,Eddy Lin=8; John Lin=8; Tom Moreno=8,0.0973,Eddy Lin=0.0973; Tom Moreno=0.0820; John Lin=0.0764,John Lin,Eddy Lin,0,0.1508,0.0933,6,19,0.5733,2.0349,4,1,0.1533,3.68,8,Eddy Lin=8; John Lin=8; Tom Moreno=8,0.0973,Eddy Lin=0.0973; Tom Moreno=0.0820; John Lin=0.0764,Eddy Lin,Eddy Lin,1,0.1508,0.0933,6,19,0.5733,2.0349,4,1,0.3805,0.315,0.365,8,4,2.0409
2100,2023-02-13 13:50:00,25,175,48,22,19,57,46,0.19,4.56,9,Eddy Lin=9; John Lin=9; Tom Moreno=8,0.0895,Eddy Lin=0.0895; John Lin=0.0785; Francisco Lopez=0.0769,John Lin,Eddy Lin,0,0.1387,0.0854,5,20,0.6367,1.9319,4,1,0.1533,3.68,7,Eddy Lin=7; Giorgio Rossi=7; John Lin=7,0.1027,Francisco Lopez=0.1027; John Lin=0.1012; Eddy Lin=0.0980,Eddy Lin,Francisco Lopez,0,0.1343,0.084,6,20,0.6333,2.1105,4,1,0.3926,0.3594,0.3602,9,4,1.9368
2400,2023-02-13 14:40:00,25,215,40,23,21,68,51,0.2267,5.44,11,Eddy Lin=11; Adam Smith=9; John Lin=9,0.0905,Eddy Lin=0.0905; Adam Smith=0.0768; Carlos Gomez=0.0635,Eddy Lin,Eddy Lin,1,0.1655,0.0907,4,20,0.6433,1.7824,3,2,0.17,4.08,8,Eddy Lin=8; Giorgio Rossi=7; Jennifer Moore=7,0.1277,Eddy Lin=0.1277; Francisco Lopez=0.1186; Carlos Gomez=0.0918,Eddy Lin,Eddy Lin,1,0.1745,0.1055,5,20,0.6367,2.0576,4,1,0.4338,0.3665,0.308,7,3,1.7895
2700,2023-02-13 15:30:00,25,233,18,23,14,72,52,0.24,5.76,12,Eddy Lin=12; Adam Smith=10; Arthur Burton=9,0.0909,Eddy Lin=0.0909; Adam Smith=0.0781; Carlos Gomez=0.0594,Eddy Lin,Eddy Lin,1,0.1718,0.0923,4,20,0.6433,1.7565,3,2,0.1733,4.16,7,Eddy Lin=7; Jennifer Moore=7; Adam Smith=6,0.1249,Francisco Lopez=0.1249; Jennifer Moore=0.1036; Eddy Lin=0.1001,Eddy Lin,Francisco Lopez,0,0.1581,0.0909,5,20,0.6367,2.1414,4,1,0.4782,0.3996,0.307,7,3,1.7632
3000,2023-02-13 16:20:00,25,256,23,23,12,75,44,0.25,6.0,12,Eddy Lin=12; Adam Smith=11; Arthur Burton=9,0.2268,Jennifer Moore=0.2268; Yuriko Yamamoto=0.1449; Adam Smith=0.1076,Eddy Lin,Jennifer Moore,0,0.2114,0.1032,3,23,0.8433,2.17,5,3,0.1467,3.52,7,Jennifer Moore=7; Adam Smith=6; Eddy Lin=6,0.2366,Jennifer Moore=0.2366; Adam Smith=0.2120; Francisco Lopez=0.1548,Jennifer Moore,Jennifer Moore,1,0.177,0.0958,4,22,0.77,2.5974,6,2,0.4848,0.4205,0.3371,6,5,2.17
3300,2023-02-13 17:10:00,25,297,41,23,16,75,42,0.25,6.0,12,Eddy Lin=12; Adam Smith=11; Arthur Burton=9,0.2268,Jennifer Moore=0.2268; Yuriko Yamamoto=0.1449; Adam Smith=0.1076,Eddy Lin,Jennifer Moore,0,0.2114,0.1032,3,23,0.8433,2.17,5,3,0.14,3.36,7,Adam Smith=7; Eddy Lin=7; Jennifer Moore=7,0.2178,Jennifer Moore=0.2178; Adam Smith=0.1896; Ryan Park=0.1414,Adam Smith,Jennifer Moore,0,0.1679,0.0917,4,22,0.77,2.5498,5,2,0.4848,0.4205,0.3335,6,5,2.17
