agent_name,community_id
Abigail Chen,1
Arthur Burton,2
Ayesha Khan,3
Carlos Gomez,4
Francisco Lopez,1
Giorgio Rossi,5
Hailey Johnson,1
Isabella Rodriguez,5
Klaus Mueller,6
Latoya Williams,7
Maria Lopez,8
Mei Lin,9
Rajiv Patel,7
Ryan Park,10
Wolfgang Schulz,3
